learning_rate,max_depth,subsample,colsample_bytree,min_child_weight
0.029099592334847248,5,0.5906947611896626,0.8991290509084094,15
0.0484707360643906,9,0.6785544429011139,0.6225539145654648,25
0.01815111117702016,12,0.6504744312593539,0.929409389437085,12
0.02177061373238992,12,0.16072462687391903,0.15357948195789622,21
0.04846663559142604,5,0.9066294690988769,0.24656843354218577,12
0.02550217024603822,7,0.3021963961154912,0.30759759752852706,5
0.023495646027889935,4,0.6252402551248997,0.9892323495942474,20
0.08054397748682722,6,0.7377680251075567,0.7450587997881172,20
0.032632565871436474,9,0.6360121481607792,0.8079496016232135,10
0.031033820650414375,6,0.9899776443599012,0.5327918854402777,13
