learning_rate,max_depth,subsample,colsample_bytree,min_child_weight
0.025866887715724447,6,0.9731774774338028,0.6360537589477386,8
0.023669546222530348,7,0.5051251611278105,0.06426743517910702,15
0.049874477808402616,7,0.5548449584015911,0.44051257519104625,7
0.05692914669514825,4,0.8177173273046482,0.9998584114245467,15
0.0545691067008098,4,0.4272360784367808,0.25470805314148315,11
0.022112791169893634,9,0.3576669079866529,0.8097557728868243,25
0.01749381590448902,11,0.3527151093769882,0.38989705656732904,14
0.01213328247122342,10,0.2465110073176398,0.7101977341985318,12
0.06894179644402619,4,0.38366259658840185,0.8042939420829869,9
0.030546140777822056,7,0.7522008081143442,0.9571942000738527,22
