learning_rate,max_depth,subsample,colsample_bytree,min_child_weight
0.018256404259278165,11,0.41023411983683955,0.789789163360993,5
0.020323059025020136,7,0.9901532694983568,0.969585792614233,17
0.020228225316092984,12,0.3028751269455807,0.6370314683769507,16
0.02812925947324879,5,0.5909801629558473,0.9848580874631636,20
0.037113498998418634,11,0.848912427067971,0.4143796615467225,17
0.04626445905152616,11,0.48197426478559013,0.56787539708438,14
0.051855009908537336,10,0.6226479339460574,0.9982426513927273,23
0.023794026840655205,4,0.6191580503871487,0.9822394457006755,24
0.08156302544528148,8,0.820184989520944,0.9855846852740124,25
0.016073974469725735,11,0.7240416354904131,0.9830435716697927,20

