learning_rate,max_depth,subsample,colsample_bytree,min_child_weight
0.05704603505876664,4,0.7778058991893899,0.7053507988198585,18
0.018110909051967574,10,0.5080630436122433,0.4196464179391548,10
0.09939440482967199,10,0.41760636235218684,0.1235772066927265,19
0.07554211640259467,10,0.8071925449269726,0.17131332001375676,10
0.051254158151486526,4,0.7770715028113617,0.8805842076579827,16
0.010089685239605146,12,0.3251650319503346,0.6097681875760484,5
0.030152833258657606,7,0.43615041600055554,0.8677709316184619,19
0.03401695687217037,4,0.4141482384853861,0.3905642468456997,10
0.05177570397140585,13,0.5454363136267346,0.4886451873932386,25
0.05460292199317082,12,0.3653906771316343,0.9419037674746646,16
