"corr"
2.709296282308247261e-01
2.823366272320534387e-01
1.720591486040033979e-01
2.647259894104377898e-01
2.885143948642966416e-01
2.859313637221738702e-01
2.415369099275277709e-01
2.667077127762553790e-01
1.853754371986963967e-01
2.769618570737794050e-01
