"corr"
2.795747133010787477e-01
2.561436296711960270e-01
2.245078473443491707e-01
2.311070211630971982e-01
3.445066743844972246e-01
1.767542681956729145e-01
2.103412960310177549e-01
3.525608788692429219e-01
3.224525674123824848e-01
2.306519388891903333e-01
