"corr"
2.344453330470291363e-01
2.526348939703902952e-01
2.288926717776623154e-01
3.037802742489885688e-01
2.885857545197451079e-01
2.931915981343435340e-01
4.024606150708955887e-01
3.389619980487220685e-01
2.656985585539290984e-01
3.437008214930424854e-01
